symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
MSI,2017-09-08,85.120000,86.160000,False,85.050000,86.100000,reg,1583400
MSI,2017-09-11,87.010000,87.400000,False,85.350000,85.670000,reg,1008382
MSI,2017-09-12,87.740000,87.930000,False,86.615000,87.230000,reg,834139
MSI,2017-09-13,85.970000,87.490000,False,85.920000,87.490000,reg,762565
MSI,2017-09-14,84.580000,85.690000,False,84.430000,85.190000,reg,957260
MSI,2017-09-15,85.480000,85.540000,False,84.280000,84.590000,reg,1799130
MSI,2017-09-18,85.480000,85.930000,False,85.290000,85.760000,reg,1005740
MSI,2017-09-19,85.840000,86.000000,False,85.270000,85.770000,reg,771627
MSI,2017-09-20,85.650000,86.000000,False,84.910000,85.980000,reg,614644
MSI,2017-09-21,84.990000,85.630000,False,84.720000,85.570000,reg,470949
MSI,2017-09-22,84.290000,85.040000,False,84.175000,84.930000,reg,746029
MSI,2017-09-25,83.500000,84.390000,False,83.140000,84.140000,reg,520589
MSI,2017-09-26,83.020000,83.810000,False,82.860000,83.650000,reg,748130
MSI,2017-09-27,84.100000,84.450000,False,83.110000,83.350000,reg,877540
MSI,2017-09-28,83.690000,84.260000,False,83.590000,83.770000,reg,677175
MSI,2017-09-29,84.870000,84.870000,False,83.610000,83.920000,reg,953741
MSI,2017-10-02,85.840000,85.840000,False,84.560000,84.740000,reg,1039561
MSI,2017-10-03,85.690000,85.790000,False,85.255000,85.740000,reg,604262
MSI,2017-10-04,85.640000,86.010000,False,85.460000,85.800000,reg,573162
MSI,2017-10-05,86.000000,86.540000,False,85.600000,85.670000,reg,749098
MSI,2017-10-06,89.440000,89.690000,False,86.750000,86.900000,reg,2118229
MSI,2017-10-09,89.100000,90.050000,False,88.920000,89.700000,reg,991290
MSI,2017-10-10,89.080000,89.720000,False,88.760000,89.540000,reg,824183
MSI,2017-10-11,89.260000,89.500000,False,88.780000,89.310000,reg,570291
MSI,2017-10-12,89.800000,90.230000,False,88.890000,89.190000,reg,725550
MSI,2017-10-13,89.930000,90.160000,False,89.510000,90.000000,reg,681056
MSI,2017-10-16,89.360000,90.020000,False,89.280000,89.930000,reg,583463
MSI,2017-10-17,88.880000,89.300000,False,88.530000,89.090000,reg,589082
MSI,2017-10-18,89.090000,89.190000,False,88.060000,89.150000,reg,720244
MSI,2017-10-19,89.650000,90.070000,False,88.710000,88.850000,reg,611684
MSI,2017-10-20,90.000000,90.670000,False,89.642000,90.370000,reg,1136473
MSI,2017-10-23,89.940000,90.430000,False,89.790000,90.350000,reg,563594
MSI,2017-10-24,90.230000,90.880000,False,89.700000,90.000000,reg,466653
MSI,2017-10-25,90.050000,90.500000,False,89.650000,89.970000,reg,572073
MSI,2017-10-26,90.280000,90.430000,False,89.310000,90.130000,reg,410732
MSI,2017-10-27,91.190000,91.790000,False,90.020000,90.450000,reg,701110
MSI,2017-10-30,90.370000,91.170000,False,90.160000,91.070000,reg,725611
MSI,2017-10-31,90.540000,90.795000,False,90.030000,90.320000,reg,750475
MSI,2017-11-01,90.560000,91.740000,False,90.160000,91.140000,reg,789830
MSI,2017-11-02,90.020000,90.600000,False,89.820000,90.330000,reg,1058399
MSI,2017-11-03,94.250000,94.940000,False,90.395000,91.520000,reg,1576912
MSI,2017-11-06,92.430000,94.060000,False,92.190000,94.020000,reg,1385596
MSI,2017-11-07,92.110000,92.650000,False,91.680000,92.400000,reg,678939
MSI,2017-11-08,92.660000,93.110000,False,91.400000,91.990000,reg,672887
MSI,2017-11-09,91.610000,92.110000,False,91.260000,92.000000,reg,627848
MSI,2017-11-10,91.070000,92.000000,False,91.000000,91.280000,reg,584899
MSI,2017-11-13,91.370000,91.760000,False,90.600000,90.600000,reg,782160
MSI,2017-11-14,91.020000,91.180000,False,90.250000,90.870000,reg,760718
MSI,2017-11-15,90.390000,91.620000,False,90.210000,90.980000,reg,807508
MSI,2017-11-16,90.970000,91.210000,False,90.050000,90.620000,reg,947259
MSI,2017-11-17,90.950000,91.445000,False,90.420000,90.600000,reg,1162386
MSI,2017-11-20,92.330000,92.690000,False,91.255000,91.370000,reg,500526
MSI,2017-11-21,92.450000,93.430000,False,92.370000,92.590000,reg,1040234
MSI,2017-11-22,91.830000,92.600000,False,91.210000,92.600000,reg,508554
MSI,2017-11-24,92.360000,92.602500,False,91.990000,92.040000,reg,234979
MSI,2017-11-27,92.880000,93.240000,False,92.320000,92.610000,reg,519238
MSI,2017-11-28,94.530000,94.630000,False,93.100000,93.130000,reg,909116
MSI,2017-11-29,94.170000,94.960000,False,94.000000,94.390000,reg,793894
MSI,2017-11-30,94.110000,94.660000,False,93.820000,94.300000,reg,854398
MSI,2017-12-01,93.030000,94.180000,False,92.110000,94.000000,reg,1004356
MSI,2017-12-04,93.630000,94.000000,False,93.140000,93.440000,reg,1308707
MSI,2017-12-05,90.660000,93.790000,False,90.510000,93.120000,reg,1428537
MSI,2017-12-06,91.290000,91.877800,False,90.250000,90.450000,reg,743666
MSI,2017-12-07,92.800000,93.960000,False,90.860000,91.090000,reg,2148145
MSI,2017-12-08,92.520000,93.729900,False,92.170000,93.470000,reg,1231914
MSI,2017-12-11,92.330000,92.759000,False,91.940000,92.320000,reg,1231338
MSI,2017-12-12,93.370000,93.945000,False,91.820000,93.370000,reg,872785
MSI,2017-12-13,93.940000,94.690000,False,93.002000,93.310000,reg,907215
MSI,2017-12-14,92.200000,93.800000,False,92.080000,93.800000,reg,1052282
MSI,2017-12-15,93.150000,93.875000,False,92.230000,92.620000,reg,1438907
MSI,2017-12-18,94.490000,94.680000,False,93.270000,93.270000,reg,1566693
MSI,2017-12-19,93.280000,95.300000,False,93.260000,94.700000,reg,1782039
MSI,2017-12-20,92.100000,93.770000,False,92.000000,93.590000,reg,1041710
MSI,2017-12-21,91.620000,92.720000,False,91.360000,92.180000,reg,814120
MSI,2017-12-22,90.760000,91.630000,False,90.639100,91.620000,reg,559608
MSI,2017-12-26,90.670000,91.070000,False,90.330000,90.820000,reg,609378
MSI,2017-12-27,90.800000,90.920100,False,90.010000,90.650000,reg,555495
MSI,2017-12-28,90.570000,91.450000,False,89.920000,90.960000,reg,1095747
MSI,2017-12-29,90.340000,90.930000,False,90.040100,90.800000,reg,630609
MSI,2018-01-02,90.550000,91.140000,False,90.050000,90.840000,reg,800843
MSI,2018-01-03,89.910000,90.580000,False,89.180000,90.470000,reg,1591182
MSI,2018-01-04,90.660000,91.615000,False,89.890000,89.890000,reg,1295898
MSI,2018-01-05,91.880000,91.983200,False,90.690000,91.210000,reg,679599
MSI,2018-01-08,92.820000,92.850000,False,91.600000,91.680000,reg,727677
MSI,2018-01-09,92.120000,93.480000,False,91.930000,93.000000,reg,814301
MSI,2018-01-10,92.380000,92.710000,False,91.720000,91.960000,reg,537073
MSI,2018-01-11,93.550000,93.630000,False,92.140000,92.330000,reg,812028
