symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
ES,2018-02-21,57.360000,58.640000,False,57.340000,58.110000,reg,1900674
ES,2018-02-22,57.480000,58.060000,False,57.130000,57.480000,reg,3204831
ES,2018-02-23,59.470000,59.590000,False,57.480000,57.600000,reg,2514179
ES,2018-02-26,58.820000,59.390000,False,58.500000,59.390000,reg,1699421
ES,2018-02-27,57.390000,59.150000,False,57.380000,58.960000,reg,1777432
ES,2018-02-28,57.000000,57.880000,False,57.000000,57.670000,reg,1912482
ES,2018-03-01,56.550000,57.730000,False,56.450000,57.000000,reg,2715368
ES,2018-03-02,57.100000,57.410000,False,56.530000,56.580000,reg,2678411
ES,2018-03-05,57.720000,57.850000,False,56.340000,56.420000,reg,1812025
ES,2018-03-06,56.680000,57.590000,False,56.570000,57.550000,reg,1876980
ES,2018-03-07,56.290000,57.055000,False,56.125000,56.650000,reg,2226910
ES,2018-03-08,56.870000,57.120000,False,56.490000,56.490000,reg,2284181
ES,2018-03-09,57.240000,57.245000,False,56.640000,56.880000,reg,1634017
ES,2018-03-12,57.060000,58.300000,False,56.850000,57.340000,reg,3158763
ES,2018-03-13,56.680000,57.450000,False,56.340000,57.260000,reg,2845697
ES,2018-03-14,57.190000,57.490000,False,56.750000,56.790000,reg,1717982
ES,2018-03-15,57.580000,57.875000,False,57.080000,57.210000,reg,2151921
ES,2018-03-16,58.260000,58.480000,False,57.660000,57.720000,reg,3854465
ES,2018-03-19,58.040000,58.370000,False,57.700000,58.330000,reg,2167143
ES,2018-03-20,57.670000,58.270000,False,57.489000,58.080000,reg,1507804
ES,2018-03-21,57.460000,58.260000,False,57.160000,57.790000,reg,1607733
ES,2018-03-22,57.510000,58.810000,False,57.280000,57.590000,reg,1967725
ES,2018-03-23,56.790000,58.180000,False,56.650000,57.660000,reg,1359075
ES,2018-03-26,57.530000,57.680000,False,56.900000,57.000000,reg,1408553
ES,2018-03-27,58.590000,59.350000,False,57.450000,57.660000,reg,2811294
ES,2018-03-28,58.470000,59.150000,False,58.220100,58.780000,reg,1925329
ES,2018-03-29,58.920000,59.390000,False,58.540000,58.750000,reg,1846320
ES,2018-04-02,58.670000,59.750000,False,58.295000,59.050000,reg,2584090
ES,2018-04-03,59.300000,59.570000,False,58.300000,58.600000,reg,2708553
ES,2018-04-04,59.530000,59.800000,False,58.770000,59.120000,reg,2609372
ES,2018-04-05,60.010000,60.210000,False,58.770000,59.420000,reg,1797134
ES,2018-04-06,59.650000,60.405000,False,59.440000,60.060000,reg,1769333
ES,2018-04-09,59.710000,60.240000,False,59.580000,59.620000,reg,1576582
ES,2018-04-10,59.310000,59.899900,False,59.250000,59.890000,reg,1568824
ES,2018-04-11,59.410000,59.760000,False,59.210000,59.300000,reg,1450491
ES,2018-04-12,58.640000,59.730000,False,58.610000,59.420000,reg,1719813
ES,2018-04-13,59.030000,59.345000,False,58.850000,58.850000,reg,1221294
ES,2018-04-16,59.680000,59.830000,False,59.120000,59.300000,reg,1620106
ES,2018-04-17,60.240000,60.450000,False,59.610000,59.740000,reg,1738680
ES,2018-04-18,59.900000,60.815000,False,59.890000,60.440000,reg,1371519
ES,2018-04-19,59.860000,59.990000,False,59.270000,59.790000,reg,1107056
ES,2018-04-20,59.220000,59.940000,False,58.930000,59.940000,reg,1478660
ES,2018-04-23,59.210000,59.790000,False,58.910000,59.370000,reg,1288025
ES,2018-04-24,59.440000,59.910000,False,59.060000,59.290000,reg,2045274
ES,2018-04-25,59.370000,59.600000,False,58.750000,59.230000,reg,1718726
ES,2018-04-26,60.020000,60.170000,False,59.031000,59.410000,reg,1640362
ES,2018-04-27,60.620000,60.890000,False,59.770000,59.930000,reg,1288622
ES,2018-04-30,60.250000,60.870000,False,60.130000,60.590000,reg,2872487
ES,2018-05-01,59.750000,60.450000,False,59.580000,60.380000,reg,2356743
ES,2018-05-02,59.690000,59.990000,False,59.340000,59.710000,reg,1671397
ES,2018-05-03,58.870000,59.530000,False,58.520000,59.150000,reg,1777397
ES,2018-05-04,59.040000,59.250000,False,58.670000,59.090000,reg,1828004
ES,2018-05-07,58.730000,59.175000,False,58.600000,59.100000,reg,1672394
ES,2018-05-08,57.320000,58.710000,False,57.220000,58.590000,reg,2113949
ES,2018-05-09,57.000000,57.470000,False,56.380000,57.470000,reg,1720293
ES,2018-05-10,57.950000,57.980000,False,57.160000,57.540000,reg,1289331
ES,2018-05-11,58.040000,58.090000,False,57.710000,58.000000,reg,945024
ES,2018-05-14,57.530000,58.280000,False,57.280000,58.060000,reg,2212740
ES,2018-05-15,57.390000,57.520000,False,56.800000,57.340000,reg,1494310
ES,2018-05-16,57.440000,57.860000,False,57.213300,57.490000,reg,2636959
ES,2018-05-17,57.100000,57.710000,False,56.960000,57.500000,reg,1888017
ES,2018-05-18,57.320000,57.620000,False,56.915000,57.060000,reg,1844558
ES,2018-05-21,57.470000,57.550000,False,56.940000,57.490000,reg,1741997
ES,2018-05-22,57.780000,57.960000,False,57.390000,57.440000,reg,1759153
ES,2018-05-23,56.540000,57.850000,False,55.310000,57.430000,reg,5314582
ES,2018-05-24,56.630000,56.655000,False,56.060000,56.540000,reg,2857950
ES,2018-05-25,56.260000,56.800000,False,56.230000,56.750000,reg,2806556
ES,2018-05-29,56.810000,57.280000,False,56.360000,56.450000,reg,3023588
ES,2018-05-30,57.140000,57.340000,False,56.400000,56.680000,reg,2262947
ES,2018-05-31,57.080000,57.430000,False,56.810000,57.160000,reg,2076541
ES,2018-06-01,55.800000,56.920000,False,55.590000,56.650000,reg,2536060
ES,2018-06-04,55.500000,56.240000,False,55.490000,55.970000,reg,2165188
ES,2018-06-05,54.990000,55.670000,False,54.890000,55.520000,reg,1444775
ES,2018-06-06,53.640000,55.030000,False,53.510000,55.020000,reg,2206711
ES,2018-06-07,53.600000,54.170000,False,53.150000,53.690000,reg,2194842
ES,2018-06-08,53.560000,54.030000,False,53.370000,53.800000,reg,1391096
ES,2018-06-11,52.870000,53.630000,False,52.760000,53.610000,reg,1835560
ES,2018-06-12,53.680000,53.880000,False,52.790000,52.830000,reg,2003122
ES,2018-06-13,53.430000,54.060000,False,53.290000,53.830000,reg,2293235
ES,2018-06-14,53.990000,54.080000,False,53.402900,53.530000,reg,2334064
ES,2018-06-15,54.630000,54.700000,False,53.690000,54.030000,reg,3192896
ES,2018-06-18,55.090000,55.100000,False,54.500000,54.560000,reg,2393258
ES,2018-06-19,55.760000,56.220000,False,54.950000,55.230000,reg,2132077
ES,2018-06-20,55.810000,55.900000,False,55.440000,55.870000,reg,1152725
ES,2018-06-21,55.700000,55.980000,False,55.460000,55.610000,reg,1219086
ES,2018-06-22,56.030000,56.730000,False,55.880000,56.580000,reg,2479422
ES,2018-06-25,57.330000,57.360000,False,56.280000,56.330000,reg,2908259
ES,2018-06-26,57.550000,57.975000,False,57.100000,57.250000,reg,2506328
ES,2018-06-27,57.990000,58.130000,False,57.260000,57.850000,reg,1587356
ES,2018-06-28,58.280000,58.530000,False,57.960000,58.150000,reg,1762112
ES,2018-06-29,58.610000,58.910000,False,57.710000,58.090000,reg,2556568
ES,2018-07-02,59.020000,59.087500,False,58.360000,58.600000,reg,1601755
ES,2018-07-03,59.520000,59.950000,False,58.810000,59.080000,reg,1338652
ES,2018-07-05,59.720000,59.760000,False,59.150000,59.610000,reg,2330846
ES,2018-07-06,60.310000,60.440000,False,59.720000,59.760000,reg,1562955
ES,2018-07-09,58.460000,60.680000,False,58.240000,60.610000,reg,2147332
ES,2018-07-10,58.720000,59.075000,False,57.800000,58.330000,reg,2001912
ES,2018-07-11,59.250000,59.300000,False,58.750000,58.860000,reg,1771506
ES,2018-07-12,59.140000,59.415000,False,58.880000,59.340000,reg,2400994
ES,2018-07-13,59.140000,59.480000,False,58.810000,59.140000,reg,1843330
ES,2018-07-16,59.040000,59.300000,False,58.670000,59.180000,reg,2394692
ES,2018-07-17,58.870000,59.250000,False,58.680000,59.170000,reg,1926186
ES,2018-07-18,58.520000,58.975000,False,58.420000,58.960000,reg,1478339
ES,2018-07-19,59.160000,59.390000,False,58.660000,58.790000,reg,1674637
ES,2018-07-20,58.750000,59.050000,False,58.340000,58.980000,reg,1743915
ES,2018-07-23,58.460000,58.880000,False,58.135000,58.760000,reg,1358945
ES,2018-07-24,58.820000,58.990000,False,57.490000,58.290000,reg,2083274
ES,2018-07-25,59.340000,59.540000,False,58.730000,58.920000,reg,2130877
ES,2018-07-26,60.360000,60.540000,False,59.700000,59.700000,reg,2277992
ES,2018-07-27,60.080000,60.590000,False,59.880000,60.180000,reg,1168068
ES,2018-07-30,59.760000,60.120000,False,59.470000,59.980000,reg,1863409
ES,2018-07-31,60.720000,60.810000,False,59.650000,60.010000,reg,2144391
ES,2018-08-01,59.740000,60.080000,False,59.300000,59.800000,reg,2446244
ES,2018-08-02,60.000000,60.270000,False,59.355000,59.700000,reg,1386391
ES,2018-08-03,60.930000,61.000000,False,59.730000,60.150000,reg,1328150
ES,2018-08-06,61.090000,61.460000,False,60.830000,60.840000,reg,990325
ES,2018-08-07,60.990000,61.220000,False,60.380000,61.090000,reg,1104057
ES,2018-08-08,60.950000,61.150000,False,60.490000,60.740000,reg,942686
ES,2018-08-09,61.140000,61.250000,False,60.710000,60.980000,reg,982414
ES,2018-08-10,61.350000,61.800000,False,61.195000,61.300000,reg,1192429
ES,2018-08-13,61.750000,61.780000,False,61.229500,61.480000,reg,1617152
ES,2018-08-14,61.800000,62.151000,False,61.540000,61.570000,reg,1091612
ES,2018-08-15,62.340000,62.750000,False,61.780000,61.920000,reg,1294372
ES,2018-08-16,62.990000,63.000000,False,62.100000,62.290000,reg,1773593
ES,2018-08-17,63.240000,63.470000,False,62.770000,62.890000,reg,1020590
ES,2018-08-20,63.120000,63.530000,False,62.913700,63.310000,reg,871202
ES,2018-08-21,62.810000,63.080000,False,62.555000,63.080000,reg,954560
ES,2018-08-22,62.360000,63.080000,False,62.090000,62.920000,reg,1195798
ES,2018-08-23,62.430000,62.750000,False,62.250000,62.340000,reg,727785
ES,2018-08-24,62.760000,62.810000,False,62.060000,62.520000,reg,882800
ES,2018-08-27,62.210000,62.930000,False,61.851100,62.930000,reg,1023556
ES,2018-08-28,61.840000,62.240000,False,61.685000,62.140000,reg,1302370
ES,2018-08-29,62.180000,62.220000,False,61.750000,62.100000,reg,847559
ES,2018-08-30,62.640000,62.830000,False,62.230000,62.520000,reg,1356425
ES,2018-08-31,62.430000,62.844100,False,62.100000,62.560000,reg,1291877
ES,2018-09-04,62.420000,62.960000,False,62.300000,62.480000,reg,1314052
ES,2018-09-05,63.380000,63.450000,False,62.438600,62.470000,reg,952951
ES,2018-09-06,63.510000,63.850000,False,63.080000,63.300000,reg,1061598
ES,2018-09-07,62.810000,63.360000,False,62.640000,63.020000,reg,1187784
