symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
HES,2017-11-07,47.950000,48.730000,False,47.630000,48.300000,reg,3557797
HES,2017-11-08,47.080000,48.000000,False,46.800000,47.860000,reg,3698780
HES,2017-11-09,47.530000,47.840000,False,46.830000,46.830000,reg,3649528
HES,2017-11-10,47.110000,47.660000,False,46.520000,47.470000,reg,2155680
HES,2017-11-13,46.590000,46.900000,False,45.890000,46.850000,reg,3540598
HES,2017-11-14,44.910000,46.410000,False,44.710000,46.180000,reg,5413959
HES,2017-11-15,43.670000,44.270000,False,43.320000,44.140000,reg,5157660
HES,2017-11-16,44.090000,44.680000,False,43.810000,43.990000,reg,4598551
HES,2017-11-17,44.550000,44.910000,False,44.210000,44.360000,reg,3950138
HES,2017-11-20,43.560000,44.160000,False,43.199000,44.160000,reg,2784962
HES,2017-11-21,43.070000,44.080000,False,42.810000,43.750000,reg,3390616
HES,2017-11-22,43.450000,43.860000,False,43.180000,43.570000,reg,4051587
HES,2017-11-24,44.400000,44.620000,False,43.790000,43.830000,reg,1627378
HES,2017-11-27,43.100000,44.110000,False,42.900000,43.940000,reg,4746359
HES,2017-11-28,43.380000,43.560000,False,42.720000,43.070000,reg,3068751
HES,2017-11-29,44.810000,44.830000,False,43.297200,43.330000,reg,3465554
HES,2017-11-30,45.880000,46.400000,False,45.180000,45.200000,reg,4796258
HES,2017-12-01,47.090000,47.810000,False,46.050000,46.250000,reg,5436148
HES,2017-12-04,46.570000,47.640000,False,46.390000,47.050000,reg,4712882
HES,2017-12-05,46.290000,47.080000,False,45.970000,46.590000,reg,2276914
HES,2017-12-06,44.670000,45.970000,False,44.600000,45.880000,reg,3129440
HES,2017-12-07,44.600000,45.120000,False,44.460000,44.670000,reg,4136898
HES,2017-12-08,45.490000,45.590000,False,44.780000,45.490000,reg,2285388
HES,2017-12-11,45.760000,46.280000,False,45.440000,45.440000,reg,2875444
HES,2017-12-12,45.410000,45.940000,False,45.230000,45.410000,reg,3035068
HES,2017-12-13,44.100000,45.480000,False,44.010000,45.410000,reg,4309080
HES,2017-12-14,42.670000,43.850000,False,42.350000,43.790000,reg,8025751
HES,2017-12-15,43.400000,44.660000,False,43.350000,44.010000,reg,8302221
HES,2017-12-18,43.600000,44.310000,False,43.340000,43.520000,reg,3964110
